Index,p0,p1,p2,p3,camber_0.03,camber_0.2,camber_0.4,camber_0.6,camber_0.8,U10_a0_OF_cl,U10_a0_OF_cd,U10_a1_OF_cl,U10_a1_OF_cd,U10_a3_OF_cl,U10_a3_OF_cd
102,-0.010945,0.006524,-0.00272,0.006939,-0.001538,-0.003331,0.003324,0.011458,0.013705,0.298126,0.002401,0.469088,0.001413,0.661845,0.036632
103,-0.01162,0.013655,0.000754,0.006917,-0.001593,-0.002171,0.00693,0.012584,0.013759,0.269726,0.002388,0.463444,0.001851,0.675541,0.033693
105,0.000665,0.000834,0.002032,0.009747,-0.000104,0.000567,0.003132,0.013912,0.014351,0.328644,0.004108,0.544801,0.001517,0.675746,0.040892
111,-0.004553,0.006324,0.001908,0.020139,-0.000736,-0.000581,0.004989,0.017774,0.016443,0.316516,0.004023,0.572522,0.001515,0.703451,0.036541
112,0.001296,0.008282,0.005478,0.016105,6e-06,0.002342,0.006948,0.017397,0.01569,0.342225,0.004308,0.569275,0.001168,0.705554,0.036923
113,-0.015958,0.014027,0.004695,0.00811,-0.002136,-0.003876,0.008109,0.014244,0.014065,0.281381,0.002236,0.445589,0.002935,0.671265,0.034151
114,0.009996,0.003916,0.008523,0.018992,0.00108,0.005234,0.006619,0.019366,0.016323,0.353342,0.004012,0.620644,0.002804,0.710697,0.041578
115,-0.00041,0.008332,0.010239,0.023547,-0.000208,0.001705,0.008405,0.021623,0.01727,0.342767,0.003889,0.606494,0.001556,0.729358,0.035456
116,-0.010123,0.018138,0.000781,-0.00546,-0.001387,-0.000662,0.008508,0.008046,0.011264,0.218307,0.00217,0.442552,0.001144,0.657793,0.032536
117,-0.016271,0.012629,8.2e-05,0.002468,-0.002182,-0.004357,0.006151,0.010719,0.012851,0.247627,0.00213,0.421186,0.002973,0.653802,0.03471
118,-0.010364,0.011622,0.005107,0.011768,-0.001444,-0.001963,0.007593,0.015705,0.01481,0.325131,0.00241,0.487695,0.001893,0.689936,0.034139
120,-0.015974,0.016197,0.005855,0.012544,-0.002129,-0.003441,0.009283,0.016264,0.014979,0.297871,0.002313,0.45811,0.002967,0.685524,0.033855
123,-0.005352,0.006874,0.00205,0.008744,-0.000834,-0.00081,0.005103,0.0136,0.014149,0.307266,0.002922,0.514637,0.000881,0.681564,0.036042
