#sample number,P,I,overshoot,t5%
757,2.01E+02,9.33E+02,4.45E-02,1.58E-01
758,1.62E+02,8.96E+02,4.71E-02,1.93E-01
759,1.62E+02,7.47E+02,0.00E+00,2.26E-01
760,2.01E+02,9.33E+02,4.45E-02,1.58E-01
761,2.01E+02,9.33E+02,4.45E-02,1.58E-01
762,1.62E+02,8.74E+02,3.99E-02,2.03E-01
763,1.81E+02,8.29E+02,1.69E-02,1.98E-01
764,1.61E+02,7.46E+02,0.00E+00,2.18E-01
765,2.01E+02,9.33E+02,4.45E-02,1.58E-01
766,1.57E+02,7.81E+02,8.91E-03,2.18E-01
767,2.00E+02,9.16E+02,4.01E-02,1.74E-01
768,2.00E+02,9.16E+02,4.01E-02,1.74E-01
769,2.01E+02,9.22E+02,4.13E-02,1.79E-01
770,1.32E+02,7.46E+02,1.32E-02,2.36E-01
771,1.38E+02,8.01E+02,2.97E-02,2.20E-01
772,2.01E+02,9.33E+02,4.45E-02,1.58E-01
773,1.62E+02,7.46E+02,0.00E+00,2.15E-01
774,1.62E+02,7.46E+02,0.00E+00,2.15E-01
775,1.62E+02,7.33E+02,0.00E+00,2.28E-01
776,1.82E+02,8.22E+02,1.45E-02,1.96E-01
777,2.00E+02,9.16E+02,4.01E-02,1.74E-01
778,1.62E+02,7.46E+02,0.00E+00,2.15E-01
779,1.95E+02,9.29E+02,4.49E-02,1.77E-01
780,9.87E+01,6.99E+02,3.60E-02,2.81E-01
781,1.62E+02,7.46E+02,0.00E+00,2.28E-01
782,1.75E+02,7.88E+02,4.85E-03,2.10E-01
783,1.62E+02,7.46E+02,0.00E+00,2.29E-01
784,1.75E+02,7.88E+02,4.85E-03,2.10E-01
785,2.01E+02,9.33E+02,4.45E-02,1.58E-01
786,8.33E+01,6.57E+02,4.45E-02,2.95E-01
787,1.85E+02,8.42E+02,2.06E-02,1.97E-01
788,1.52E+02,7.46E+02,0.00E+00,2.21E-01
789,1.62E+02,7.46E+02,0.00E+00,2.15E-01
790,1.62E+02,7.46E+02,0.00E+00,2.15E-01
791,2.03E+02,9.33E+02,4.44E-02,1.79E-01
792,1.74E+02,8.46E+02,2.45E-02,1.85E-01
793,1.87E+02,9.33E+02,4.83E-02,1.82E-01
794,1.61E+02,7.90E+02,1.08E-02,2.16E-01
795,1.92E+02,8.73E+02,2.88E-02,1.80E-01
796,1.85E+02,8.68E+02,2.89E-02,1.89E-01
797,1.85E+02,8.42E+02,2.04E-02,1.96E-01
798,1.61E+02,8.22E+02,2.20E-02,2.02E-01
799,1.62E+02,8.56E+02,3.37E-02,2.03E-01
800,2.01E+02,9.33E+02,4.45E-02,1.58E-01
801,1.82E+02,8.62E+02,2.77E-02,1.84E-01
802,1.62E+02,7.46E+02,0.00E+00,2.15E-01
803,1.74E+02,7.87E+02,4.90E-03,2.01E-01
804,1.85E+02,8.42E+02,2.04E-02,1.96E-01
805,1.36E+02,8.43E+02,4.89E-02,2.22E-01
806,1.63E+02,7.46E+02,0.00E+00,2.24E-01
807,1.56E+02,7.69E+02,5.12E-03,2.19E-01
